Player,Rk,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Player-additional
Reese McGuire*,14,29,C,0.1,53,158,139,10,29,3,0,3,18,3,0,13,39,0.209,0.28,0.295,0.575,63.0,0.269,60.0,41,4,2,1,3,0,2/HD,,mcguire01
Vaughn Grissom,15,23,2B,-0.2,31,114,105,10,20,3,0,0,6,2,0,7,24,0.19,0.246,0.219,0.465,33.0,0.234,35.0,23,3,1,0,1,0,4/DH,,grissva01
Trevor Story,16,31,SS,0.7,26,106,94,8,24,7,0,2,10,6,3,11,33,0.255,0.34,0.394,0.733,107.0,0.325,104.0,37,2,1,0,0,2,6,,storytr01
Danny Jansen,17,29,C,0.1,30,96,80,8,15,0,0,3,6,0,0,15,19,0.188,0.323,0.3,0.623,78.0,0.307,90.0,24,3,1,0,0,0,2/HD,,janseda01
Bobby Dalbec,18,29,CI,-0.8,37,93,83,6,11,2,0,1,8,3,0,8,43,0.133,0.217,0.193,0.41,18.0,0.196,4.0,16,1,1,1,0,0,35/H9D,,dalbebo01
Nick Sogard#,19,26,IF,0.3,31,86,77,13,21,4,0,0,8,3,0,7,25,0.273,0.326,0.325,0.65,85.0,0.299,79.0,25,4,0,0,2,0,4/65H3,,sogarni01
Garrett Cooper,20,33,1B,-0.9,24,75,70,3,12,4,0,0,5,0,0,3,22,0.171,0.227,0.229,0.455,30.0,0.207,19.0,16,2,2,0,0,0,3/DH,,coopega03
Pablo Reyes,21,30,IF,-0.7,21,64,60,4,11,2,0,0,5,1,2,3,19,0.183,0.234,0.217,0.451,29.0,0.196,20.0,13,1,1,0,0,0,5/436H1,,reyespa01
Jamie Westbrook,22,29,2B,-0.1,21,48,40,4,6,2,0,2,7,0,0,4,14,0.15,0.234,0.35,0.584,62.0,0.271,63.0,14,0,1,0,2,0,4/H59D,,westbja02
Mickey Gasper#,23,28,IF,-0.2,13,23,18,1,0,0,0,0,0,0,0,4,8,0.0,0.217,0.0,0.217,-30.0,0.151,-22.0,0,1,1,0,0,0,/4HD3,,gaspemi01
Zack Short,24,29,IF,-0.2,2,7,7,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100.0,0.0,-130.0,0,0,0,0,0,0,/45,,shortza01
Tyler Heineman#,25,33,DH,0.1,2,3,2,0,0,0,0,0,0,0,0,0,1,0.0,0.333,0.0,0.333,7.0,0.239,41.0,0,0,1,0,0,0,/2D,,heinety01
Josh Winckowski,26,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,winckjo01
Chris Martin,27,38,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,martich02
Chase Shugart*,28,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,shugach01
Zach Penrod*,29,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,penroza01
Kenley Jansen#,30,36,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,janseke01
